src,name,pred,dist_from_source,dist_from_pred,strict_dist_from_source,strict_dist_from_avg_pred
0,0,2,35.81462860107422,35.09209442138672,36.19448471069336,35.60456085205078
0,1,2,40.46782684326172,40.38853073120117,40.625179290771484,41.21921157836914
0,2,8,36.738338470458984,37.153011322021484,37.1873664855957,37.33705520629883
0,3,3,35.09138488769531,35.163612365722656,35.60832214355469,35.8958854675293
0,4,9,32.693233489990234,32.83621597290039,32.8709831237793,32.88090896606445
0,5,0,32.52238464355469,None,32.73869705200195,None
0,6,4,35.238399505615234,35.057228088378906,35.226463317871094,34.81355667114258
0,7,8,32.75550842285156,32.26382827758789,32.83301544189453,32.54442596435547
0,8,0,34.643489837646484,None,34.51271438598633,None
0,9,2,32.184226989746094,31.574914932250977,32.23884201049805,31.467750549316406
0,10,8,37.758750915527344,37.902584075927734,38.084346771240234,37.735191345214844
0,11,0,37.789878845214844,None,37.54412841796875,None
0,12,3,38.3968391418457,38.16274642944336,38.51865768432617,38.3433837890625
0,13,8,31.750545501708984,31.635934829711914,31.73518943786621,31.776451110839844
0,14,0,33.794132232666016,None,33.97832489013672,None
0,15,8,36.43520736694336,36.08578109741211,36.38337707519531,36.38334274291992
0,16,0,33.40445327758789,None,33.94425582885742,None
0,17,8,29.433147430419922,29.228111267089844,29.87965202331543,29.17315101623535
0,18,8,36.77388000488281,36.188201904296875,36.85652542114258,36.501380920410156
0,19,4,33.31817626953125,33.18331527709961,33.1065673828125,32.9483757019043
0,20,8,36.75720977783203,36.68234634399414,37.10006332397461,36.931884765625
0,21,8,30.417041778564453,30.241579055786133,30.09217643737793,30.598445892333984
0,22,2,32.662620544433594,32.61069869995117,33.17988967895508,32.625064849853516
0,23,3,35.732486724853516,35.754703521728516,35.70952606201172,35.8455810546875
0,24,0,38.32844161987305,None,38.15496063232422,None
0,25,0,38.5836181640625,None,38.3668327331543,None
0,26,1,33.95100784301758,33.348384857177734,34.3666877746582,33.39689636230469
0,27,8,33.32341003417969,33.0498046875,33.26263427734375,33.63371276855469
0,28,9,29.448440551757812,28.806093215942383,29.67556381225586,29.48900604248047
0,29,6,35.7335319519043,34.85348892211914,35.80508804321289,35.1430549621582
0,30,0,31.561073303222656,None,31.84487533569336,None
0,31,8,35.2589111328125,34.47478103637695,35.70810317993164,34.661190032958984
0,32,0,31.137969970703125,None,30.918907165527344,None
0,33,2,35.251014709472656,35.55945587158203,34.94900894165039,35.46369552612305
0,34,0,33.22509765625,None,33.61004638671875,None
0,35,4,34.55055618286133,34.147911071777344,34.44053268432617,34.661529541015625
0,36,0,35.75810241699219,None,36.285614013671875,None
0,37,8,33.85792541503906,33.784847259521484,33.717926025390625,33.944679260253906
0,38,8,32.71709442138672,32.40325164794922,33.22913360595703,32.72547149658203
0,39,3,30.791221618652344,31.55404281616211,30.714635848999023,32.22026443481445
0,40,0,32.08831787109375,None,32.1809196472168,None
0,41,2,35.66912078857422,34.85320281982422,35.62284851074219,34.909889221191406
0,42,8,30.57723045349121,29.421485900878906,30.439050674438477,29.56471824645996
0,43,8,32.92094421386719,33.01688766479492,33.11118698120117,32.980228424072266
0,44,0,35.539390563964844,None,35.83218002319336,None
0,45,8,33.46299362182617,33.43035888671875,33.405479431152344,33.519344329833984
0,46,4,35.4853630065918,34.92337417602539,35.7234992980957,34.64441680908203
0,47,8,35.12071990966797,35.21818923950195,35.11259841918945,35.42964172363281
0,48,0,34.7949104309082,None,34.93983840942383,None
0,49,2,29.592947006225586,29.751882553100586,29.31559181213379,29.584932327270508
1,50,1,28.6800479888916,None,28.7654972076416,None
1,51,9,31.62619400024414,31.475521087646484,31.56866455078125,31.713909149169922
1,52,9,31.741287231445312,31.4230899810791,31.870361328125,31.860239028930664
1,53,8,35.53345489501953,35.04912185668945,35.745113372802734,35.470645904541016
1,54,1,34.690650939941406,None,34.93702697753906,None
1,55,8,35.096473693847656,34.309207916259766,35.15782928466797,34.65822219848633
1,56,9,33.9560661315918,34.022499084472656,34.33662414550781,34.34440231323242
1,57,3,35.10535430908203,34.661231994628906,35.57171630859375,35.569236755371094
1,58,9,32.125038146972656,31.632328033447266,32.60398483276367,32.014915466308594
1,59,6,34.49919128417969,32.983543395996094,34.466957092285156,33.12587356567383
1,60,7,33.97148513793945,34.233489990234375,34.292633056640625,34.915103912353516
1,61,8,35.968780517578125,36.08855438232422,36.0259895324707,36.26223373413086
1,62,8,27.318864822387695,27.31110191345215,27.473777770996094,27.648529052734375
1,63,7,35.695491790771484,34.86961364746094,35.64606475830078,34.93872833251953
1,64,1,30.591083526611328,None,30.537057876586914,None
1,65,1,31.758174896240234,None,31.934751510620117,None
1,66,9,35.7368278503418,35.87178039550781,35.678794860839844,36.166656494140625
1,67,2,29.209861755371094,29.780567169189453,29.261783599853516,30.504169464111328
1,68,8,32.302284240722656,32.115745544433594,31.904438018798828,32.289554595947266
1,69,6,33.81652069091797,34.13492202758789,34.27045440673828,34.43367004394531
1,70,6,34.66684341430664,34.709434509277344,34.9874153137207,34.69827651977539
1,71,9,34.21098709106445,34.03702926635742,34.02233123779297,34.143741607666016
1,72,6,33.67262649536133,33.35422897338867,33.8224983215332,33.70977783203125
1,73,9,37.98299789428711,37.54851531982422,37.6996955871582,37.95266342163086
1,74,6,36.5430793762207,36.332035064697266,36.385250091552734,36.784114837646484
1,75,9,34.712799072265625,34.370338439941406,34.72283172607422,34.55782699584961
1,76,8,34.4455451965332,34.652442932128906,34.40135192871094,34.79388427734375
1,77,8,32.418670654296875,32.73686218261719,32.368186950683594,33.10913848876953
1,78,8,30.848527908325195,30.626855850219727,30.564043045043945,31.45883560180664
1,79,9,32.39699935913086,32.244117736816406,32.479312896728516,32.11271667480469
1,80,1,29.746673583984375,None,29.669687271118164,None
1,81,6,37.52255630493164,36.8916015625,37.629302978515625,37.64838790893555
1,82,0,36.792510986328125,36.36068344116211,37.177268981933594,36.59165954589844
1,83,1,35.179840087890625,None,35.797882080078125,None
1,84,8,35.62647247314453,35.6394157409668,35.863121032714844,35.86088180541992
1,85,8,36.001625061035156,36.071983337402344,36.133033752441406,36.129112243652344
1,86,6,35.300472259521484,35.468265533447266,35.30363845825195,35.583946228027344
1,87,6,32.1837158203125,32.195125579833984,32.118900299072266,32.24460220336914
1,88,9,28.069597244262695,27.53986358642578,28.21613121032715,27.779083251953125
1,89,1,33.15750503540039,None,33.04220962524414,None
1,90,8,34.9825325012207,34.834659576416016,35.16026306152344,35.01532745361328
1,91,9,36.28374481201172,35.62675857543945,36.40185546875,36.040618896484375
1,92,9,31.312063217163086,31.322086334228516,31.442678451538086,31.654096603393555
1,93,9,32.11564254760742,32.070098876953125,32.66514587402344,32.60091018676758
1,94,6,34.35363006591797,34.32896423339844,34.723289489746094,34.151458740234375
1,95,5,35.08905029296875,35.212345123291016,35.092613220214844,35.11275100708008
1,96,0,39.27245330810547,38.74874496459961,39.33332061767578,38.872230529785156
1,97,9,32.07456970214844,32.05567169189453,31.933841705322266,31.95911407470703
1,98,9,36.5497932434082,36.65542221069336,36.718955993652344,36.705108642578125
